id,name,tel,district,address,longitude,latitude
96,联华超市,,杨浦区,兰州路与昆明路交叉口西南100米,121.525782,31.268182
97,联华超市(水丰店),021-35090451,杨浦区,控江路658号(长白新村),121.54073799999999,31.285151000000003
98,联华超市(丰庄路店),13120976558,嘉定区,丰庄路409号,121.364174,31.248358000000003
99,联华超市(青浦新桥店),,青浦区,新桥路675、677、679号,121.10439299999999,31.213221
100,联华超市(康业路店),13482386222,青浦区,康业路888弄28-2号,121.059398,31.085256
101,联华超市(巍广店),13564446481,松江区,环城路878号,121.24724199999999,31.012357
102,联华超市(乐都路118弄小区东南),021-57709304,松江区,乐都路108-110号,121.23789099999999,31.013853000000005
103,联华超市(庙前街店),021-57723938,松江区,松汇中路520-524号,121.233737,31.004944000000002
104,联华超市(欧阳店),021-63062657,虹口区,欧阳路363号,121.487769,31.270353000000004
105,联华超市,021-64493880,闵行区,虹桥镇青杉路286号,121.36358,31.176109999999998
106,联华超市(万科店),021-64050920,闵行区,新虹街道申长路1313号1层,121.313077,31.203530999999998
107,联华超市(沪亭路),15801882445,松江区,沪亭路301号,121.3255,31.13308
108,联华超市,021-57710653,松江区,九亭朗亭路601号,121.29401100000001,31.149009000000003
109,联华超市(环镇店),021-66620241,宝山区,环镇北路521、527,121.40623300000001,31.307977
110,联华超市(新港二店),021-38190000,浦东新区,新府路与新欣东路交叉口西50米,121.87239299999999,30.981984999999998
111,联华超市(友谊店),021-56560733,宝山区,友谊路街道团结路4号,121.48568,31.40455
112,联华超市(东林路店),021-56607348,宝山区,友谊路46-3号,121.488529,31.406894
113,联华超市(友谊路店),021-56602906,宝山区,友谊路164号,121.48133899999999,31.404153000000004
114,联华超市(东林路店),021-56607348,宝山区,东林路454号1层,121.49130900000002,31.409784000000002
115,联华超市,13306891950,嘉定区,博园路8175号104室(茂泉路与博园路交口旁),121.157777,31.278982
116,联华超市(闸航路店),021-34790026,闵行区,浦江镇闸航路2621号,121.533955,31.019389
117,联华超市(名都店),,闵行区,莘庄镇名都路36弄14号,121.390799,31.106583
118,华联超市(莘朱路店),021-52965866,闵行区,莘朱路452号(莘朱路口东北侧宝城路莘朱路路口),121.39106299999999,31.110426
119,联华超市(百林店),021-54158895,闵行区,莘庄镇都市路4690号,121.39209199999999,31.102484000000004
120,联华超市,,宝山区,牡丹江路216号吴淞中心医院门口,121.496389,31.378266999999997
121,联华超市(景谷店),021-34050317,闵行区,景谷路162-166号,121.399474,31.013029
122,联华超市,18301898997,浦东新区,1-2000弄孙桥路299号-2,121.630925,31.180859
123,联华超市,,浦东新区,莱阳路1470号,121.58418799999998,31.293994
124,联华超市(凉城二店),021-55899251,虹口区,凉城路481号,121.47017,31.289209999999997
125,联华超市(浦驰路二店),18721115761,闵行区,浦驰路293号(江园路与浦驰路交口北行30米路西),121.50193200000001,31.076302000000002
126,联华超市,,宝山区,淞南镇长江南路651号,121.48075800000001,31.338906
127,联华超市(丁香店),021-52550105,长宁区,华山路800弄10号(镇宁路口),121.43880800000001,31.214540000000003
128,联华超市(海潮店),,黄浦区,陆家浜路468弄30号近海潮路,121.496746,31.210853000000004
129,联华超市(禹州店),021-51978252,浦东新区,金桥镇金港路333号B区中B16,121.612648,31.254801
130,联华超市,,浦东新区,峨山路607号,121.52226399999999,31.214465
131,联华超市(康茂店),,浦东新区,康桥路1659号,121.584694,31.150612
132,联华超市(新雅东路店),,浦东新区,唐镇新雅东路29号,121.686858,31.237226
133,联华超市(金月店),13818887877,浦东新区,新园路128弄1号地下1层,121.630175,31.317784999999997
134,联华超市(公利医院店),021-50931089,浦东新区,栖山路与苗圃路交叉口北100米,121.546529,31.243428
135,联华超市(金沙江路店),13795342964,普陀区,金沙江路788号201单元,121.398628,31.232255
136,联华超市,,松江区,九亭大街1156,121.31318799999998,31.126908
137,联华超市(呈汇店),,松江区,影佳路123弄,121.31636200000001,31.007224
138,联华超市(九亭店),021-57652976,松江区,九亭镇九亭大街504号,121.327793,31.128505999999998
139,联华超市(建国西店),,徐汇区,嘉善路453号,121.46042800000001,31.2056
140,联华超市(华泾店),,徐汇区,华泾镇望月路890号,121.460876,31.117442999999998
141,联华超市(辉平店),18501775272,杨浦区,武川路75弄55号101室,121.49196299999998,31.301694
142,联华超市(虎山店),021-35010957,杨浦区,打虎山路74-2号,121.508375,31.272743
143,联华超市,,浦东新区,建中路242弄159号,121.61248,31.203073999999997
144,联华超市(虹颂店),17701679785,长宁区,虹桥路1023号,121.413528,31.196556
145,联华超市(南丹店),021-54591828,徐汇区,南丹路331号(近1号线上海体育馆站),121.430227,31.190232
146,联华超市(南丹店),,徐汇区,南丹路301号,121.430122,31.18964
147,联华超市(祖冲之路店),021-50372178,浦东新区,祖冲之路2305号天之骄子生活新天地1层,121.628476,31.21272
148,联华超市(金家宅),,浦东新区,川周公路4009-3号,121.587056,31.125977000000002
149,联华超市(中山北路店),,静安区,中山北路751号,121.458754,31.259896
150,联华超市(平城路店),18121323910,嘉定区,平城路2283号,121.22106000000001,31.381159999999998
151,联华超市(泾南店),13818505003,浦东新区,灵山路755号1层,121.54946000000001,31.231495000000002
152,联华超市,,浦东新区,康沈路1870弄69,121.57849499999999,31.111444
153,联华超市(仙霞店),,长宁区,仙霞西路88号百联西郊购物中心1层,121.370318,31.208609999999997
154,联华超市(上南路店),,浦东新区,康桥镇上南路7812号,121.57141000000001,31.118038000000002
155,联华超市(金山店),021-57952603,金山区,石化地区新城路332号,121.340477,30.712878999999997
156,联华超市(高迪店),13524187588,浦东新区,青桐路618弄14号,121.620048,31.214015000000003
157,联华超市(景谷店),021-34050317,闵行区,景谷中路635-07号,121.406345,31.014393
158,联华超市(龙汇店),021-37570887,浦东新区,龙汇路87号,121.549852,31.198633
159,联华超市(锦秋新天地店),,宝山区,锦秋路829号锦秋新天地1层,121.388158,31.320916999999998
160,联华超市(栖霞店),021-58929935,浦东新区,栖霞路37号-2,121.514798,31.235654999999998
161,联华超市(老沪闵路店),021-52265885,闵行区,梅陇镇老沪闵路1351号,121.434526,31.112288
162,联华超市(楼圆店),021-64236078,徐汇区,老沪闵路706弄19号,121.4309,31.144817
163,联华超市(保屯店),021-53590023,黄浦区,保屯路100-120号,121.490257,31.205015000000003
164,联华超市(东余杭店),021-65414244,虹口区,东余杭路926号,121.50424199999999,31.256966
165,联华超市(友东路),,闵行区,友东路358号108,121.35337,31.126362
166,联华超市(武威东路),15921885889,普陀区,桃浦镇武威东路825号,121.388742,31.276344
167,联华超市(青湖东路),,青浦区,青湖东路899,121.146739,31.145834000000004
168,联华超市(仙霞路店),021-62595972,长宁区,仙霞路463-1号,121.39211999999999,31.205910999999997
169,联华超市(虹古店),021-32080017,长宁区,安龙路833号,121.387193,31.208369
170,联华超市(遵义店),15851411458,长宁区,中山西路750号,121.41126399999999,31.207735999999997
171,联华超市(平顺路店),,静安区,共和新路5012号绿地集团11层,121.444767,31.321806
172,联华超市(长岛路店),021-60930525,浦东新区,长岛路1156-1158号金桥翡翠坊B1层,121.592353,31.260628000000004
173,联华超市(海潮路店),021-63057219,黄浦区,海潮路106号,121.49803500000002,31.210310999999997
174,联华超市(曙建店),13395891168,闵行区,曙建路65号-5室,121.42125,31.09282
175,联华超市(俱进店),,浦东新区,俱进路427号,121.612001,31.300586
176,联华超市(陆家嘴店),13621675140,浦东新区,浦东大道580号3号,121.52175,31.24039
177,联华超市(益江店),,浦东新区,益江路238号,121.63107,31.19943
178,联华超市(城中园酒店东南),021-50500147,浦东新区,金桥路1480-13号,121.58811000000001,31.250687
179,联华超市(隽苑店),021-69735995,青浦区,朱家角镇马家桥路283-285号,121.041296,31.119025
180,联华超市(上川店),,浦东新区,上川路1688-1690号,121.66878600000001,31.278333
181,联华超市(新浦航店),,闵行区,浦江镇浦航路728弄1号,121.54096899999999,31.042968
182,联华超市(金葵店),,浦东新区,金葵路1051-1057,121.626348,31.239057
183,联华超市(申浦店),021-50690653,宝山区,申浦路269、271、275号,121.413316,31.424934999999998
184,联华超市(铁峰店),021-66796189,宝山区,锦友路2276号附近,121.45215,31.400833000000002
185,联华超市,15921821258,宝山区,南蕴藻路123号,121.43610100000001,31.337612
186,联华超市,,宝山区,顾村镇陆翔路1018弄龙湖北城天街2号,121.359721,31.361565999999996
187,联华超市(大康路店),021-66620150,宝山区,大康路865号,121.42343600000001,31.329239
188,联华超市(喜达店),021-69025238,嘉定区,乐秀路485号,121.314788,31.271209000000002
189,联华超市(海波路店),,嘉定区,海波路601-627号,121.33591200000001,31.268219000000002
190,联华超市,,金山区,亭林镇寺平北路98号(大慈路路口),121.306983,30.891333000000003
191,联华超市(大宁店),021-56720599,静安区,大宁路612号,121.44892,31.273020000000002
192,联华超市,,闵行区,浦江镇召楼路2004号,121.539578,31.055267999999998
193,联华超市(疏影路二店),18621863386,闵行区,莘庄镇疏影路1072号,121.36079,31.11843
194,联华超市(由由三邨南),021-58754235,浦东新区,严镇路253号-44,121.53026899999999,31.191833000000003
195,联华超市(张建店),021-50198678,浦东新区,孙桥孙建路866号,121.640403,31.18285
196,联华超市,,浦东新区,民春路,121.66403000000001,31.274641
197,联华超市(金桥路店),,浦东新区,金桥路2690弄48号,121.60250500000001,31.231523
198,联华超市(晶平店),13777549003,普陀区,北石路500弄98-100号,121.393772,31.24806
199,联华超市,,松江区,涞坊路241号,121.319299,31.15427
200,联华超市,021-68483943,浦东新区,高东镇赵高公路1728号,121.640459,31.296802000000003
201,联华超市(锦宁店),021-65208988,长宁区,长宁支路176号底层,121.42611000000001,31.226598
202,联华超市(环庆中路),,浦东新区,庆利路与环庆中路交叉口东南50米,121.724989,31.233938000000002
203,联华超市(青湖店),021-69735133,青浦区,华青南路455-457号,121.13389,31.145506
204,联华超市(剑川店),,闵行区,东川路500号华东师范大学闵行校区学生公寓(河西餐厅对面),121.44825700000001,31.035069
205,联华超市(尚旺店),,宝山区,共康路755-757号,121.43076299999998,31.320907000000002
206,联华超市(华漕店),,闵行区,纪翟路888号,121.28587900000001,31.213631
207,联华超市(金海公路店),,奉贤区,南桥镇金海公路2588号C幢底层5-12号,121.501791,30.895745
208,联华超市(陈华港小区西南),021-59781508,青浦区,赵重公路2778弄56-60号,121.18786599999999,31.194319
209,联华超市(虹桥店),,徐汇区,虹桥路772弄1-1号,121.424645,31.194641999999998
210,联华超市(新苑店),021-63161400,黄浦区,西藏南路1130号,121.485823,31.210221999999998
211,联华超市(烨彪店),,奉贤区,海湾旅游区人民塘路476弄37号,121.526648,30.832824
212,联华超市(唐城店),021-57138262,奉贤区,洪庙路188号,121.692846,30.927103999999996
213,联华超市(体育馆店),021-54590451,徐汇区,漕东路18号,121.4393,31.173609999999996
214,联华超市(沪泰店),021-66610042,静安区,柳营路1035号,121.450167,31.260991999999998
215,联华超市(长阳新苑店),021-33810117,杨浦区,长阳路1326号(近齐齐哈尔路),121.529095,31.266797999999998
216,联华超市(华灵店),021-66346493,宝山区,华灵路560-1号,121.42271299999999,31.275128999999996
217,联华超市(宜山路),021-33687198,徐汇区,田林十村43号,121.41993899999999,31.173621
218,联华超市(南亭公路店),021-57180693,奉贤区,南桥镇南亭公路181弄36-42号,121.45097,30.90727
219,联华超市(继业店),021-58912760,浦东新区,沪南路630号(近北蔡大街),121.55281299999999,31.187876
220,联华超市(旭乐店),18018642927,青浦区,胜利路225号,121.104426,31.157643
221,联华超市(电台店),,宝山区,电台路599弄47号,121.392255,31.356445
222,联华超市(裕丰店),021-39120023,嘉定区,裕丰路258号,121.30684,31.297659999999997
223,联华超市(惠亚店),021-69171896,嘉定区,南翔镇惠亚路611号,121.288255,31.310781
224,联华超市(创新西路店),15900606283,浦东新区,创新西路349-355号,121.651246,31.200976
225,联华超市(中佳店),021-59121749,嘉定区,南翔镇中佳路32号1层,121.320927,31.29634
226,联华超市(眉州路店),021-65898322,杨浦区,上海平凉路街道眉州路120号,121.537621,31.258395
227,联华超市(盛大花园),021-54073098,徐汇区,龙华路2518号,121.453483,31.178423
228,联华超市(菊联路店),021-36312506,宝山区,菊联路209、211、213号,121.36421999999999,31.346829999999997
229,联华超市(陶家塘),021-60757520,闵行区,芦恒路,121.49486399999999,31.115213
230,联华超市(轿行店),,奉贤区,南庄路134号,121.46555900000001,30.896628000000003
231,联华超市(欣跃店),021-68902787,浦东新区,和炯路207-209号,121.504143,31.121640000000003
232,联华超市(临江店),021-56104878,宝山区,东林路240号(近密山路),121.49345600000001,31.405381
233,联华超市(戬浜店),021-59516157,嘉定区,嘉定马陆镇大治路447号,121.299015,31.376306
234,联华超市(沪太公路辅路),021-66022068,宝山区,沪太公路5785号1层,121.369212,31.372269
235,联华超市(祥仁店),021-59242866,青浦区,朱家角镇祥凝浜路424号淀湖新村1号楼1层,121.060119,31.109090000000002
236,联华超市(临二店),021-56787140,宝山区,友谊支路307-308号,121.486236,31.410221999999997
237,联华超市(华理店),,奉贤区,海湾路999号,121.505602,30.832638
238,联华超市(江南清水苑东),,崇明区,长兴镇长兴合作路831号106室,121.777773,31.349241999999997
239,联华超市(莘谭店),,闵行区,莘谭路408-1号,121.37047199999999,31.107609000000004
240,联华超市(凯翔店),021-64081098,徐汇区,漕东支路1之5-7号凯翔商务中心,121.438392,31.169529999999998
241,联华超市(中科店),13917603474,浦东新区,中科路2601-2603号,121.63583100000001,31.190107
242,联华超市(育秀路店),021-57190615,奉贤区,育秀路211号,121.465874,30.908694
243,联华超市(桂巷店),021-32020148,普陀区,杨柳青路331号,121.401106,31.237253999999997
244,联华超市(陆家嘴软件园店),021-50896556,浦东新区,峨山路91弄98号,121.5319,31.21733
245,联华超市(中远店),13611657018,普陀区,中潭路100弄252号,121.44723400000001,31.253096999999997
246,联华超市(叶红店),18021001096,浦东新区,航头镇鹤驰路198号2楼,121.591572,31.079521000000003
247,联华超市(蒲汇路店),021-57634008,松江区,九亭蒲汇路135弄2号,121.330003,31.13865
248,联华超市(普光路),021-59702776,青浦区,香花桥镇普光路25号,121.13283999999999,31.18566
249,联华超市(客盈店),021-35090423,杨浦区,翔殷路313-315号,121.54041399999998,31.307015999999997
250,联华超市(金高店),021-58658089,浦东新区,高行镇金高路388号15号,121.60938,31.292355
251,联华超市(佘山店),021-57659871,松江区,佘山镇桃源西路362弄79号西楼梯1-2号,121.179336,31.100628000000004
252,联华超市(永吉路店),021-35304570,杨浦区,永吉路9之12-13,121.531829,31.288355
253,联华超市(彭浦店),021-36060131,闸北区,阳曲路420号(近阳曲路),121.460301,31.313340000000004
254,联华超市(汇成店),021-34053411,徐汇区,百色路1139号,121.43446000000002,31.142909999999997
255,联华超市(云清店),,松江区,梅家浜路1500弄1-40号三湘四季花城财富广场1层,121.23028000000001,31.053167
256,联华超市(心亿店),021-67841353,松江区,九亭镇涞坊路698号1层,121.307268,31.149995
257,联华超市(朝勤路店),021-58977446,浦东新区,合庆镇王家车路768号,121.72228100000001,31.261101
258,联华超市(文涵路店),021-67846779,松江区,文涵路887-889号,121.185891,31.039882000000002
259,联华超市(华盈店),021-69734160,青浦区,盈港东路8300弄,121.139177,31.161538
260,联华超市(天马店),021-57665018,松江区,天新路180号,121.143179,31.069046000000004
261,联华超市(鹤韵店),13524664002,浦东新区,鹤韵路28号,121.59589799999999,31.075471000000004
262,联华超市(里仁店),021-58119975,浦东新区,年家浜路430号,121.573347,31.114403000000003
263,联华超市(南苑别墅北),18016073117,徐汇区,百色路855号(近龙川北路),121.440028,31.142365
264,联华超市(银翔路店),,嘉定区,众仁路495号101室,121.321937,31.291117
265,联华超市(沙庙店),021-68082621,浦东新区,沙庙村川南奉公路7689号1层,121.76823,30.963614
266,联华超市(高建路),,浦东新区,高建路17-27号,121.61884099999999,31.293157
267,联华超市(荣乐西路店),021-67812131,松江区,荣乐西路1635弄甲12号,121.19882700000001,31.015832
268,联华超市(千山店),021-55613534,杨浦区,殷行路880号,121.522807,31.329034999999998
269,联华超市(铁力店),,宝山区,盘古路927弄26号,121.46268,31.40186
270,联华超市(湄浦路店),021-56789840,宝山区,湄浦路280-288,121.463555,31.406133
271,联华超市(金亭公路),021-68103603,浦东新区,金亭公路601号、605号1层,121.76751999999999,31.112116999999998
272,联华超市(郏店村店),,青浦区,重固镇郏店村340号1层,121.185928,31.177244
273,联华超市(中港店),021-38050015,浦东新区,南港公路1660号,121.83996100000002,31.04055
274,联华超市(三民路店),021-33650111,奉贤区,庄行镇庄行新苑三民路577号,121.39063600000001,30.900790999999998
275,联华超市(浦东商场),13651858819,浦东新区,川沙路4825号浦东商场B1层,121.698081,31.195511
276,联华超市(建中店),021-50796528,浦东新区,建中路242弄159号,121.61248,31.203073999999997
277,联华超市(甘泉店),021-36050034,普陀区,延长西路630号,121.42950900000001,31.260009000000004
278,联华超市,,普陀区,真如镇街道芝川路46号,121.40398400000001,31.258446000000003
279,联华超市(汇腾路),,浦东新区,汇腾路4号401,121.654756,31.026659000000002
280,联华超市(翔殷店),021-35090423,杨浦区,翔殷路584号,121.533565,31.305839000000002
281,联华超市(锦顺店),021-62757243,长宁区,安顺路154号,121.41821000000002,31.201628999999997
282,联华超市(中原店),,杨浦区,殷行路300号,121.539855,31.328245000000003
283,联华超市(迎熏店),,浦东新区,惠南镇迎熏路1223号,121.76758600000001,31.034689
284,联华超市(金林店),021-68220930,浦东新区,航头路1043-1045号1层,121.595449,31.033285
285,联华超市(白玉店),021-32130025,普陀区,白玉路200-3,121.416422,31.234147999999998
286,联华超市(琪惠店),021-57622893,松江区,古楼公路1856弄2号,121.234025,31.103960999999998
287,联华超市(江学路店),021-67735543,松江区,江学路321弄22-24号,121.211501,31.027919
288,联华超市(正阳店),021-37521601,奉贤区,奉贤南桥育秀东路389号,121.474427,30.910998
289,联华超市(新沪店),021-66670334,宝山区,新沪路431-451号,121.419751,31.270613
290,联华超市(柘林泛Ｔ宪霸繁?,13817140319,奉贤区,柘林镇联业路853号,121.48808999999999,30.838553000000005
291,联华超市(绿波景园南),,松江区,沪松公路2972弄18、20号,121.271468,31.107419
292,联华超市(中心街店),021-37890118,松江区,松江镇新浜镇中心街69号,121.06696000000001,30.93275
293,联华超市(余姚路二店),021-62195312,静安区,延平路523,121.436383,31.235219
294,联华超市(国和店),021-65322700,杨浦区,国和路1049号-3楼,121.53088999999999,31.318064
295,联华超市(月亮河桂园东),,松江区,文涵路541-543号,121.186497,31.034499
296,联华超市(平顺路店),021-56915825,闸北区,共和新路4444号,121.448254,31.311913
297,联华超市(靖海店),021-38000027,浦东新区,拱极路2375-2377号,121.771305,31.052916999999997
298,联华超市(博居店),021-25012164,浦东新区,金杨新村街道博山东路451号1层,121.56853500000001,31.252986
299,联华超市(凉城店),,虹口区,车站北路518号,121.47287,31.29727
300,联华超市(航北路店),021-54391955,闵行区,航北路28弄36号(航北路230号),121.35378999999999,31.17295
301,联华超市(香贵店),021-52716591,普陀区,金沙江路99号1层,121.407201,31.231481
302,联华超市(博威祥源福邸东北),,嘉定区,南翔镇金通路1712、1716号,121.32292,31.286809
